size
17
33
6
2
7
4
7
1
2
17
7
12
20
6
9
7
7
10
24
15
11
5
9
31
3
1
1
2
2
2
33
1
2
1
1
1
7
3
1
1
1
1
2
12
115
13
14
10
3
1
1
338
363
61
3
3
1
118
710
1
10700
201
9
317
5
99
40
459
1772
225
45
1
2
14
1
1
1
13
27
5
1
1
7
7
248
16
1
300
34
215
16
17
30
2
47
4
1
10
2
3
2
430
306
333
12
24
2
4
75
7
40
28
17
3
4
19
4
45
10
105
24
16
19
3
19
2
3
41
14
8
12
7
1
1
6
16
3
1
13
9
1
11
46
26
2
2
4
37
1
2
1
6
1
1
32
21
6
2
22
1
2
5
2
4
8
36
1
9
7
30
3
62
8
32
73
1
2
1
1
1
27
30
10
43
20
1
440
3
17
27
1
35
3
12
1
70
8
25
80
55
1
5
1
105
2
2
2
424
6
3
5
6
8
5
3
2
1
31
10
4
3
1
1
1
1
1
1
5
4
1
2
2
2
2
17
18
14
1
9
9
11
5
3
11
1
12
111
6
9
38
20
16
3
5
2
43
